index,type,type,name,usage(KB),total(KB),parentStack
31,    material,material,gfx_fxt_light_flare,0.1,0.1,|weapon/muzzleflashes/fx_tesla_ug_world|fx|sp/tesla_gun_upgraded|weapon|../zone_source/mod.csv|csv
32,      image,image,fxt_fire_flame_lick,0.0,0.0,|gfx_fxt_fire_flame_lick|material|weapon/molotov/fx_molotov_exp|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
33,    material,material,gfx_fxt_fire_flame_lick_add,0.1,0.2,|weapon/molotov/fx_molotov_exp|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
34,    material,material,gfx_fxt_smk_gen,0.1,0.1,|system_elements/fx_smoke_trail_small_light_emit|fx|weapon/molotov/fx_molotov_wick_phase1|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
35,    material,material,gfx_fxt_fire_flame_clump,0.1,0.1,|weapon/muzzleflashes/fx_sw357|fx|sp/zombie_sw_357|weapon|../zone_source/mod.csv|csv
36,      image,image,fxt_fx_distortion_heat,0.0,0.0,|gfx_fxt_fx_distortion_heat|material|weapon/molotov/fx_molotov_wick_phase1|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
37,    material,material,gfx_fxt_fx_distortion_heat,0.1,0.1,|weapon/molotov/fx_molotov_wick_phase1|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
38,  fx,fx,misc/fx_fire_manager1,7.6,8.3,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
39,  fx,fx,misc/fx_fire_manager2,6.9,6.9,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
40,  fx,fx,misc/fx_fire_manager3,6.2,6.2,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
41,  fx,fx,misc/fx_fire_manager4,7.6,7.6,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
42,      image,image,fxt_smk_lit,0.0,0.0,|gfx_fxt_smk_lit|material|env/fire/fx_flamethrower_ember_splash_large|fx|weapon/muzzleflashes/fx_flamethrower_world|fx|sp/m2_flamethrower_zombie_upgraded|weapon|../zone_source/mod.csv|csv
43,    material,material,gfx_fxt_smk_lit,0.1,0.1,|env/fire/fx_flamethrower_ember_splash_large|fx|weapon/muzzleflashes/fx_flamethrower_world|fx|sp/m2_flamethrower_zombie_upgraded|weapon|../zone_source/mod.csv|csv
44,      image,image,fxt_fx_lensflare_glow,0.0,0.0,|gfx_fxt_fx_lensflare_glow|material|weapon/molotov/fx_molotov_exp|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
45,    material,material,gfx_fxt_fx_lensflare_glow,0.1,0.2,|weapon/molotov/fx_molotov_exp|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
46,  fx,fx,misc/fx_fire_manager5,5.9,6.2,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
47,  fx,fx,misc/fx_fire_manager6,6.9,6.9,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
48,  fx,fx,misc/fx_fire_manager7,1.0,1.0,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
49,  fx,fx,misc/fx_fire_manager8,1.0,1.0,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
50,  fx,fx,misc/fx_fire_manager9,6.9,6.9,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
51,  fx,fx,misc/fx_fire_manager10,6.2,6.2,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
52,    material,material,gfx_fxt_fire_anim_sm,0.1,0.1,|destructibles/fx_dest_fire_trail_sm|fx|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
53,  fx,fx,misc/fx_fire_fthrow_vert_short,6.4,6.5,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
54,  fx,fx,system_elements/fx_smoke_fire_trail_small_emit,1.3,1.3,|destructibles/fx_dest_fire_trail_med|fx|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
55,      image,image,fxt_smk_light,0.0,0.0,|gfx_fxt_smk_light|material|weapon/muzzleflashes/standardflashview_ug|fx|sp/zombie_type100_smg_upgraded|weapon|../zone_source/mod.csv|csv
56,    material,material,gfx_fxt_smk_light,0.1,0.1,|weapon/muzzleflashes/standardflashview_ug|fx|sp/zombie_type100_smg_upgraded|weapon|../zone_source/mod.csv|csv
57,    material,material,gfx_fxt_fire_flame_lick,0.1,0.1,|weapon/molotov/fx_molotov_exp|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
58,  fx,fx,destructibles/fx_dest_fire_trail_sm,5.0,5.3,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
59,      image,image,fxt_light_flare_halogen,0.0,0.0,|gfx_fxt_light_flare_halogen_vm|material|maps/zombie/fx_zombie_tesla_tube_view3_ug|fx|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
60,    material,material,gfx_fxt_light_flare_halogen,0.1,0.2,|weapon/muzzleflashes/fx_tesla_ug_world|fx|sp/tesla_gun_upgraded|weapon|../zone_source/mod.csv|csv
61,  fx,fx,destructibles/fx_dest_fire_trail_med,2.0,2.2,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
62,  xanim,xanim,ai_flame_death_a,97.6,97.6,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
63,  xanim,xanim,ai_flame_death_b,126.3,126.3,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
64,  xanim,xanim,ai_flame_death_c,84.1,84.1,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
65,  xanim,xanim,ai_flame_death_d,126.2,126.2,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
66,  xanim,xanim,ai_flame_death_crouch_a,67.4,67.4,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
67,  xanim,xanim,ai_flame_death_crouch_b,79.8,79.8,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
68,  xanim,xanim,ai_flame_death_crouch_c,67.0,67.0,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
69,  xanim,xanim,ai_flame_death_crouch_d,117.3,117.3,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
70,  xanim,xanim,ai_flame_wounded_stand_a,41.5,41.5,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
71,  xanim,xanim,ai_flame_wounded_stand_b,51.4,51.4,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
72,  xanim,xanim,ai_flame_wounded_stand_c,51.3,51.3,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
73,  xanim,xanim,ai_flame_wounded_stand_d,53.7,53.7,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
74,  xanim,xanim,ai_flame_wounded_crouch_a,53.3,53.3,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
75,  xanim,xanim,ai_flame_wounded_crouch_b,59.8,59.8,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
76,  xanim,xanim,ai_flame_wounded_crouch_c,54.1,54.1,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
77,  xanim,xanim,ai_flame_wounded_crouch_d,44.5,44.5,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
78,  rawfile,rawfile,rumble/flamethrower,0.1,0.1,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
79,  rawfile,rawfile,rumble/flamethrower_l.rmb,0.1,0.1,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
80,  rawfile,rawfile,rumble/flamethrower_h.rmb,0.1,0.1,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
81,  rawfile,rawfile,mptype/nazi_zombie_heroes.gsc,0.6,0.6,|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
82,  rawfile,rawfile,character/char_zomb_player_0.gsc,0.2,0.2,|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
83,  techset,techset,mc_l_sm_r0c0d0n0s0,62.5,62.5,|mc/mtl_weapon_thompson_gold|material|weapon_zombie_thompson_smg_up|xmodel|sp/zombie_thompson_upgraded|weapon|../zone_source/mod.csv|csv
84,  techset,techset,mc_l_sm_r0c0,37.8,37.8,|mc/mtl_ray_gun_battery|material|viewmodel_zombie_raygun_up|xmodel|sp/ray_gun_upgraded|weapon|../zone_source/mod.csv|csv
85,  techset,techset,mc_l_sm_r0c0s0,40.5,40.5,|mc/mtl_weapon_molotov_grenade|material|projectile_rus_molotov_grenade|xmodel|sp/molotov|weapon|../zone_source/mod.csv|csv
86,  techset,techset,mc_l_sm_r0c0n0,40.6,40.6,|mc/mtl_weapon_minigun_bullets|material|t5_weapon_carry_minigun_viewmodel|xmodel|sp/minigun_zm|weapon|../zone_source/mod.csv|csv
87,  techset,techset,mc_l_sm_r0c0n0s0,29.7,29.7,|mc/mtl_double_barrel|material|viewmodel_usa_double_barrel_2023|xmodel|../zone_source/mod.csv|csv
88,  techset,techset,mc_l_sm_r0c0d0,21.9,21.9,|mc/mtl_char_usa_marine_polonsky_head|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
89,  techset,techset,mc_l_sm_r0c0d0s0,27.1,27.1,|mc/mtl_char_usa_marine_polonsky_head|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
90,  techset,techset,mc_l_sm_r0c0d0n0,23.7,23.7,|mc/mtl_panzerschreck_missle|material|weapon_ger_panzershreck_rocket|xmodel|sp/panzerschrek_zombie_upgraded|weapon|../zone_source/mod.csv|csv
91,  techset,techset,mc_l_hsm_r0c0,16.0,16.0,|mc/mtl_char_usa_marine_polonsky_head|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
92,  techset,techset,mc_l_hsm_r0c0s0,19.9,19.9,|mc/mtl_char_usa_marine_polonsky_head|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
93,  techset,techset,mc_l_hsm_r0c0n0,18.1,18.1,|mc/mtl_char_usa_marine_polonsky_head|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
94,  techset,techset,mc_l_hsm_r0c0n0s0,22.0,22.0,|mc/mtl_char_usa_marine_polonsky_head|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
95,  techset,techset,mc_l_hsm_r0c0d0,10.5,10.5,|mc/mtl_char_usa_marine_polonsky_head|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
96,  techset,techset,mc_l_hsm_r0c0d0s0,14.3,14.3,|mc/mtl_char_usa_marine_polonsky_head|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
97,  techset,techset,mc_l_hsm_r0c0d0n0,12.6,12.6,|mc/mtl_char_usa_marine_polonsky_head|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
98,  techset,techset,mc_l_hsm_r0c0d0n0s0,16.5,16.5,|mc/mtl_char_usa_marine_polonsky_head|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
99,  techset,techset,mc_l_sm_r0c0n0s0_eyeball,54.3,54.3,|mc/mtl_char_ger_ansel_head_zomb_eyes|material|char_ger_ansel_head_zomb|xmodel|../raw/character/char_zomb_player_3.csv|csv|char_zomb_player_3|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
100,  techset,techset,mc_l_sm_r0c0_eyeball,40.4,40.4,|mc/mtl_char_usa_marine_polonsky_eyes|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
101,  techset,techset,mc_l_sm_r0c0s0_eyeball,48.6,48.6,|mc/mtl_char_usa_marine_polonsky_eyes|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
102,  techset,techset,mc_l_sm_r0c0n0_eyeball,44.8,44.8,|mc/mtl_char_usa_marine_polonsky_eyes|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
103,  techset,techset,mc_l_hsm_r0c0_eyeball,19.5,19.5,|mc/mtl_char_usa_marine_polonsky_eyes|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
104,  techset,techset,mc_l_hsm_r0c0s0_eyeball,23.3,23.3,|mc/mtl_char_usa_marine_polonsky_eyes|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
105,  techset,techset,mc_l_hsm_r0c0n0_eyeball,21.5,21.5,|mc/mtl_char_usa_marine_polonsky_eyes|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
106,  techset,techset,mc_l_hsm_r0c0n0s0_eyeball,25.3,25.3,|mc/mtl_char_usa_marine_polonsky_eyes|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
107,  techset,techset,mc_l_sm_r0c0d0n0s0_clothcharr,72.7,72.7,|mc/mtl_char_ger_honorguard_head1_1|material|char_ger_honorgd_zomb_behead|xmodel|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
108,  techset,techset,mc_l_sm_r0c0_clothcharr,52.2,52.2,|mc/mtl_char_usa_marine_gear2_zomb_lthr|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
109,  techset,techset,mc_l_sm_r0c0s0_clothcharr,52.6,52.6,|mc/mtl_weapon_flamethrower_zombie_up|material|weapon_zombie_flamethrower_up|xmodel|sp/m2_flamethrower_zombie_upgraded|weapon|../zone_source/mod.csv|csv
110,  techset,techset,mc_l_sm_r0c0n0_clothcharr,57.3,57.3,|mc/mtl_char_usa_marine_gear2_zomb_lthr|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
111,  techset,techset,mc_l_sm_r0c0n0s0_clothcharr,43.0,43.0,|mc/mtl_char_ger_gear02_zomb|material|char_ger_waffen_officercap1_zomb|xmodel|../raw/character/char_zomb_player_3.csv|csv|char_zomb_player_3|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
112,  techset,techset,mc_l_sm_r0c0d0_clothcharr,35.8,35.8,|mc/mtl_char_usa_marine_gear2_zomb_lthr|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
113,  techset,techset,mc_l_sm_r0c0d0s0_clothcharr,38.6,38.6,|mc/mtl_char_usa_marine_gear2_zomb_lthr|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
114,  techset,techset,mc_l_sm_r0c0d0n0_clothcharr,37.0,37.0,|mc/mtl_char_usa_marine_gear2_zomb_lthr|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
115,  techset,techset,mc_l_hsm_r0c0_clothcharr,21.3,21.3,|mc/mtl_char_usa_marine_gear2_zomb_lthr|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
116,  techset,techset,mc_l_hsm_r0c0s0_clothcharr,25.2,25.2,|mc/mtl_char_usa_marine_gear2_zomb_lthr|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
117,  techset,techset,mc_l_hsm_r0c0n0_clothcharr,24.1,24.1,|mc/mtl_char_usa_marine_gear2_zomb_lthr|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
118,  techset,techset,mc_l_hsm_r0c0n0s0_clothcharr,28.0,28.0,|mc/mtl_char_usa_marine_gear2_zomb_lthr|material|char_usa_marine_polonsky_zomb|xmodel|../raw/character/char_zomb_player_0.csv|csv|char_zomb_player_0|character|../raw/mptype/nazi_zombie_heroes.csv|csv|nazi_zombie_heroes|mptype|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
